0/12030, t=0.200036s
585/12030, t=0.269036s
586/12030, t=0.269069s
587/12030, t=0.269103s
588/12030, t=0.269136s
589/12030, t=0.269169s
590/12030, t=0.269203s
591/12030, t=0.269236s
592/12030, t=0.269269s
593/12030, t=0.269303s
594/12030, t=0.269336s
595/12030, t=0.269369s
596/12030, t=0.269403s
597/12030, t=0.269436s
598/12030, t=0.269469s
599/12030, t=0.269503s
600/12030, t=0.269536s
601/12030, t=0.269569s
602/12030, t=0.269603s
603/12030, t=0.269636s
604/12030, t=0.269669s
605/12030, t=0.269703s
606/12030, t=0.269736s
607/12030, t=0.269769s
608/12030, t=0.269803s
609/12030, t=0.269836s
610/12030, t=0.269869s
611/12030, t=0.269903s
612/12030, t=0.269936s
613/12030, t=0.269969s
614/12030, t=0.270003s
615/12030, t=0.270036s
616/12030, t=0.270069s
617/12030, t=0.270103s
618/12030, t=0.270136s
619/12030, t=0.270169s
620/12030, t=0.270203s
621/12030, t=0.270236s
622/12030, t=0.270269s
623/12030, t=0.270303s
624/12030, t=0.270336s
625/12030, t=0.270369s
626/12030, t=0.270403s
627/12030, t=0.270436s
628/12030, t=0.270469s
629/12030, t=0.270503s
630/12030, t=0.270536s
631/12030, t=0.270569s
632/12030, t=0.270603s
633/12030, t=0.270636s
634/12030, t=0.270669s
635/12030, t=0.270703s
636/12030, t=0.270736s
637/12030, t=0.270769s
638/12030, t=0.270803s
639/12030, t=0.270836s
640/12030, t=0.270869s
641/12030, t=0.270903s
642/12030, t=0.270936s
643/12030, t=0.270969s
644/12030, t=0.271003s
645/12030, t=0.271036s
646/12030, t=0.271069s
647/12030, t=0.271103s
648/12030, t=0.271136s
649/12030, t=0.271169s
650/12030, t=0.271203s
651/12030, t=0.271236s
652/12030, t=0.271269s
653/12030, t=0.271303s
654/12030, t=0.271336s
655/12030, t=0.271369s
656/12030, t=0.271403s
657/12030, t=0.271436s
658/12030, t=0.271469s
659/12030, t=0.271503s
660/12030, t=0.271536s
661/12030, t=0.271569s
662/12030, t=0.271603s
663/12030, t=0.271636s
664/12030, t=0.271669s
665/12030, t=0.271703s
666/12030, t=0.271736s
667/12030, t=0.271769s
668/12030, t=0.271803s
669/12030, t=0.271836s
670/12030, t=0.271869s
671/12030, t=0.271903s
672/12030, t=0.271936s
673/12030, t=0.271969s
674/12030, t=0.272003s
675/12030, t=0.272036s
676/12030, t=0.272069s
677/12030, t=0.272103s
678/12030, t=0.272136s
679/12030, t=0.272169s
680/12030, t=0.272203s
681/12030, t=0.272236s
682/12030, t=0.272269s
683/12030, t=0.272303s
684/12030, t=0.272336s
685/12030, t=0.272369s
686/12030, t=0.272403s
687/12030, t=0.272436s
688/12030, t=0.272469s
689/12030, t=0.272503s
690/12030, t=0.272536s
691/12030, t=0.272569s
692/12030, t=0.272603s
693/12030, t=0.272636s
694/12030, t=0.272669s
695/12030, t=0.272703s
696/12030, t=0.272736s
697/12030, t=0.272769s
698/12030, t=0.272803s
699/12030, t=0.272836s
700/12030, t=0.272869s
701/12030, t=0.272903s
702/12030, t=0.272936s
703/12030, t=0.272969s
704/12030, t=0.273003s
705/12030, t=0.273036s
706/12030, t=0.273069s
707/12030, t=0.273103s
708/12030, t=0.273136s
709/12030, t=0.273169s
710/12030, t=0.273203s
711/12030, t=0.273236s
712/12030, t=0.273269s
713/12030, t=0.273303s
714/12030, t=0.273336s
715/12030, t=0.273369s
716/12030, t=0.273403s
717/12030, t=0.273436s
718/12030, t=0.273469s
719/12030, t=0.273503s
720/12030, t=0.273536s
721/12030, t=0.273569s
722/12030, t=0.273603s
723/12030, t=0.273636s
724/12030, t=0.273669s
725/12030, t=0.273703s
726/12030, t=0.273736s
727/12030, t=0.273769s
728/12030, t=0.273803s
729/12030, t=0.273836s
730/12030, t=0.273869s
731/12030, t=0.273903s
732/12030, t=0.273936s
733/12030, t=0.273969s
734/12030, t=0.274003s
735/12030, t=0.274036s
736/12030, t=0.274069s
737/12030, t=0.274103s
738/12030, t=0.274136s
739/12030, t=0.274169s
740/12030, t=0.274203s
741/12030, t=0.274236s
742/12030, t=0.274269s
743/12030, t=0.274303s
744/12030, t=0.274336s
745/12030, t=0.274369s
746/12030, t=0.274403s
747/12030, t=0.274436s
748/12030, t=0.274469s
749/12030, t=0.274503s
750/12030, t=0.274536s
751/12030, t=0.274569s
752/12030, t=0.274603s
753/12030, t=0.274636s
754/12030, t=0.274669s
755/12030, t=0.274703s
756/12030, t=0.274736s
757/12030, t=0.274769s
758/12030, t=0.274803s
759/12030, t=0.274836s
760/12030, t=0.274869s
761/12030, t=0.274903s
762/12030, t=0.274936s
763/12030, t=0.274969s
764/12030, t=0.275003s
765/12030, t=0.275036s
766/12030, t=0.275069s
767/12030, t=0.275103s
768/12030, t=0.275136s
769/12030, t=0.275169s
770/12030, t=0.275203s
771/12030, t=0.275236s
772/12030, t=0.275269s
773/12030, t=0.275303s
774/12030, t=0.275336s
775/12030, t=0.275369s
776/12030, t=0.275403s
777/12030, t=0.275436s
778/12030, t=0.275469s
779/12030, t=0.275503s
780/12030, t=0.275536s
781/12030, t=0.275569s
782/12030, t=0.275603s
783/12030, t=0.275636s
784/12030, t=0.275669s
785/12030, t=0.275703s
786/12030, t=0.275736s
787/12030, t=0.275769s
788/12030, t=0.275803s
789/12030, t=0.275836s
790/12030, t=0.275869s
791/12030, t=0.275903s
792/12030, t=0.275936s
793/12030, t=0.275969s
794/12030, t=0.276003s
795/12030, t=0.276036s
796/12030, t=0.276069s
797/12030, t=0.276103s
798/12030, t=0.276136s
799/12030, t=0.276169s
800/12030, t=0.276203s
801/12030, t=0.276236s
802/12030, t=0.276269s
803/12030, t=0.276303s
804/12030, t=0.276336s
805/12030, t=0.276369s
806/12030, t=0.276403s
807/12030, t=0.276436s
808/12030, t=0.276469s
809/12030, t=0.276503s
810/12030, t=0.276536s
811/12030, t=0.276569s
812/12030, t=0.276603s
813/12030, t=0.276636s
814/12030, t=0.276669s
815/12030, t=0.276703s
816/12030, t=0.276736s
817/12030, t=0.276769s
818/12030, t=0.276803s
819/12030, t=0.276836s
820/12030, t=0.276869s
821/12030, t=0.276903s
822/12030, t=0.276936s
823/12030, t=0.276969s
824/12030, t=0.277003s
825/12030, t=0.277036s
826/12030, t=0.277069s
827/12030, t=0.277103s
828/12030, t=0.277136s
829/12030, t=0.277169s
830/12030, t=0.277203s
831/12030, t=0.277236s
832/12030, t=0.277269s
833/12030, t=0.277303s
834/12030, t=0.277336s
835/12030, t=0.277369s
836/12030, t=0.277403s
837/12030, t=0.277436s
838/12030, t=0.277469s
839/12030, t=0.277503s
840/12030, t=0.277536s
841/12030, t=0.277569s
842/12030, t=0.277603s
843/12030, t=0.277636s
844/12030, t=0.277669s
845/12030, t=0.277703s
846/12030, t=0.277736s
847/12030, t=0.277769s
848/12030, t=0.277803s
849/12030, t=0.277836s
850/12030, t=0.277869s
851/12030, t=0.277903s
852/12030, t=0.277936s
853/12030, t=0.277969s
854/12030, t=0.278003s
855/12030, t=0.278036s
856/12030, t=0.278069s
857/12030, t=0.278103s
858/12030, t=0.278136s
859/12030, t=0.278169s
860/12030, t=0.278203s
861/12030, t=0.278236s
862/12030, t=0.278269s
863/12030, t=0.278303s
864/12030, t=0.278336s
865/12030, t=0.278369s
866/12030, t=0.278403s
867/12030, t=0.278436s
868/12030, t=0.278469s
869/12030, t=0.278503s
870/12030, t=0.278536s
871/12030, t=0.278569s
872/12030, t=0.278603s
873/12030, t=0.278636s
874/12030, t=0.278669s
875/12030, t=0.278703s
876/12030, t=0.278736s
877/12030, t=0.278769s
878/12030, t=0.278803s
879/12030, t=0.278836s
880/12030, t=0.278869s
881/12030, t=0.278903s
882/12030, t=0.278936s
883/12030, t=0.278969s
884/12030, t=0.279003s
885/12030, t=0.279036s
886/12030, t=0.279069s
887/12030, t=0.279103s
888/12030, t=0.279136s
889/12030, t=0.279169s
890/12030, t=0.279203s
891/12030, t=0.279236s
892/12030, t=0.279269s
893/12030, t=0.279303s
894/12030, t=0.279336s
895/12030, t=0.279369s
896/12030, t=0.279403s
897/12030, t=0.279436s
898/12030, t=0.279469s
899/12030, t=0.279503s
900/12030, t=0.279536s
901/12030, t=0.279569s
902/12030, t=0.279603s
903/12030, t=0.279636s
904/12030, t=0.279669s
905/12030, t=0.279703s
906/12030, t=0.279736s
907/12030, t=0.279769s
908/12030, t=0.279803s
909/12030, t=0.279836s
910/12030, t=0.279869s
911/12030, t=0.279903s
912/12030, t=0.279936s
913/12030, t=0.279969s
914/12030, t=0.280003s
915/12030, t=0.280036s
916/12030, t=0.280069s
917/12030, t=0.280103s
918/12030, t=0.280136s
919/12030, t=0.280169s
920/12030, t=0.280203s
921/12030, t=0.280236s
922/12030, t=0.280269s
923/12030, t=0.280303s
924/12030, t=0.280336s
925/12030, t=0.280369s
926/12030, t=0.280403s
927/12030, t=0.280436s
928/12030, t=0.280469s
929/12030, t=0.280503s
930/12030, t=0.280536s
931/12030, t=0.280569s
932/12030, t=0.280603s
933/12030, t=0.280636s
934/12030, t=0.280669s
935/12030, t=0.280703s
936/12030, t=0.280736s
937/12030, t=0.280769s
938/12030, t=0.280803s
939/12030, t=0.280836s
940/12030, t=0.280869s
941/12030, t=0.280903s
942/12030, t=0.280936s
943/12030, t=0.280969s
944/12030, t=0.281003s
945/12030, t=0.281036s
946/12030, t=0.281069s
947/12030, t=0.281103s
948/12030, t=0.281136s
949/12030, t=0.281169s
950/12030, t=0.281203s
951/12030, t=0.281236s
952/12030, t=0.281269s
953/12030, t=0.281303s
954/12030, t=0.281336s
955/12030, t=0.281369s
956/12030, t=0.281403s
957/12030, t=0.281436s
958/12030, t=0.281469s
959/12030, t=0.281503s
960/12030, t=0.281536s
961/12030, t=0.281569s
962/12030, t=0.281603s
963/12030, t=0.281636s
964/12030, t=0.281669s
965/12030, t=0.281703s
966/12030, t=0.281736s
967/12030, t=0.281769s
968/12030, t=0.281803s
969/12030, t=0.281836s
970/12030, t=0.281869s
971/12030, t=0.281903s
972/12030, t=0.281936s
973/12030, t=0.281969s
974/12030, t=0.282003s
975/12030, t=0.282036s
976/12030, t=0.282069s
977/12030, t=0.282103s
978/12030, t=0.282136s
979/12030, t=0.282169s
980/12030, t=0.282203s
981/12030, t=0.282236s
982/12030, t=0.282269s
983/12030, t=0.282303s
984/12030, t=0.282336s
985/12030, t=0.282369s
986/12030, t=0.282403s
987/12030, t=0.282436s
988/12030, t=0.282469s
989/12030, t=0.282503s
990/12030, t=0.282536s
991/12030, t=0.282569s
992/12030, t=0.282603s
993/12030, t=0.282636s
994/12030, t=0.282669s
995/12030, t=0.282703s
996/12030, t=0.282736s
997/12030, t=0.282769s
998/12030, t=0.282803s
999/12030, t=0.282836s
1000/12030, t=0.282869s
1001/12030, t=0.282903s
1002/12030, t=0.282936s
1003/12030, t=0.282969s
1004/12030, t=0.283003s
1005/12030, t=0.283036s
1006/12030, t=0.283069s
1007/12030, t=0.283103s
1008/12030, t=0.283136s
1009/12030, t=0.283169s
1010/12030, t=0.283203s
1011/12030, t=0.283236s
1012/12030, t=0.283269s
1013/12030, t=0.283303s
1014/12030, t=0.283336s
1015/12030, t=0.283369s
1016/12030, t=0.283403s
1017/12030, t=0.283436s
1018/12030, t=0.283469s
1019/12030, t=0.283503s
1020/12030, t=0.283536s
1021/12030, t=0.283569s
1022/12030, t=0.283603s
1023/12030, t=0.283636s
1024/12030, t=0.283669s
1025/12030, t=0.283703s
1026/12030, t=0.283736s
1027/12030, t=0.283769s
1028/12030, t=0.283803s
1029/12030, t=0.283836s
1030/12030, t=0.283869s
1031/12030, t=0.283903s
1032/12030, t=0.283936s
1033/12030, t=0.283969s
1034/12030, t=0.284003s
1035/12030, t=0.284036s
1036/12030, t=0.284069s
1037/12030, t=0.284103s
1038/12030, t=0.284136s
1039/12030, t=0.284169s
1040/12030, t=0.284203s
1041/12030, t=0.284236s
1042/12030, t=0.284269s
1043/12030, t=0.284303s
1044/12030, t=0.284336s
1045/12030, t=0.284369s
1046/12030, t=0.284403s
1047/12030, t=0.284436s
1048/12030, t=0.284469s
1049/12030, t=0.284503s
1050/12030, t=0.284536s
1051/12030, t=0.284569s
1052/12030, t=0.284603s
1053/12030, t=0.284636s
1054/12030, t=0.284669s
1055/12030, t=0.284703s
1056/12030, t=0.284736s
1057/12030, t=0.284769s
1058/12030, t=0.284803s
1059/12030, t=0.284836s
1060/12030, t=0.284869s
1061/12030, t=0.284903s
1062/12030, t=0.284936s
1063/12030, t=0.284969s
1064/12030, t=0.285003s
1065/12030, t=0.285036s
1066/12030, t=0.285069s
1067/12030, t=0.285103s
1068/12030, t=0.285136s
1069/12030, t=0.285169s
